5.00E+001	3.4780000E+04	2.60E+000
5.50E+001	2.8610000E+04	3.60E+000
6.00E+001	2.3650000E+04	4.60E+000
6.50E+001	1.9630000E+04	5.60E+000
7.00E+001	1.6370000E+04	6.60E+000
7.50E+001	1.3720000E+04	7.60E+000
8.00E+001	1.1540000E+04	8.60E+000
8.50E+001	9.7440000E+03	9.60E+000
9.00E+001	8.2610000E+03	1.06E+001
9.50E+001	7.0300000E+03	1.16E+001
1.00E+002	6.0050000E+03	1.26E+001
1.05E+002	5.1470000E+03	1.36E+001
1.10E+002	4.4270000E+03	1.46E+001
1.15E+002	3.8200000E+03	1.56E+001
1.20E+002	3.3070000E+03	1.66E+001
1.25E+002	2.8720000E+03	1.76E+001
